GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Dffa	O54786	-0.07388513	0.6139324	2	1.008	1.025	1.063	0.85	1.05	0.874	0.827	0.998
Dfna5	Q9Z2D3	-0.557352	0.002137145	4	1.026	0.965	1.035	0.959	0.711	0.708	0.627	0.662
Dgat1	Q9Z2A7	0.338452	0.000694757	9	1.051	1.015	0.959	1.003	1.302	1.247	1.224	1.32
Dgat2	Q9DCV3	0.8876421	0.00061685	1	0.868	0.989	1.045	1.102	1.858	1.786	1.777	1.987
Dgcr6	O35347	0.198209	0.1312611	1	1.002	0.956	1.068	0.953	1.252	1.013	1.063	1.237
Dgke	Q9R1C6	-0.003229514	0.9669433	2	0.909	1.012	0.981	1.123	0.96	1.051	1.034	0.971
Dgkq	Q6P5E8	0.03444028	0.6916876	1	0.953	1.13	0.904	1.028	0.966	1.044	1.082	1.02
Dglucy	Q8BH86	-0.09224144	0.0006031	16	1.023	0.966	1.011	0.988	0.972	0.896	0.946	0.927
Dguok	Q9QX60	0.1421777	0.04436802	2	1.019	1.019	0.922	1.018	1.072	1.1	1.115	1.103
Dhcr24	Q8VCH6	-0.06735264	0.002328581	4	1.041	0.987	0.968	1.038	1.003	0.928	0.921	0.998
Dhcr7	O88455	-0.656522	0.00063597	5	1.003	0.981	0.985	0.978	0.659	0.636	0.554	0.655
Dhdds	Q99KU1	0.4386844	0.008575803	2	1.013	0.964	0.984	1.063	1.534	1.252	1.248	1.42
Dhfr	P00375	-0.5910871	0.004029924	5	0.966	1.063	0.941	1.043	0.598	0.75	0.706	0.61
Dhodh	O35435	0.1496008	0.009528082	16	1.025	0.956	1.012	1.034	1.161	1.072	1.068	1.166
Dhps	Q3TXU5	0.5781559	0.02404378	6	0.972	1.015	1.068	0.84	1.626	1.271	1.383	1.535
Dhrs1	Q99L04	0.2437103	0.005065215	11	1.029	0.99	0.959	1.043	1.177	1.184	1.211	1.189
Dhrs11	Q3U0B3	0.4439913	0.03389171	8	1.006	1.015	1.072	0.878	1.438	1.196	1.295	1.473
Dhrs13	Q5SS80	0.3819789	0.03703609	6	0.99	1.009	1.015	1.014	1.378	1.092	1.288	1.491
Dhrs3	O88876	-0.1792284	0.0364783	3	1	1.062	0.958	0.986	0.858	0.865	0.899	0.916
Dhrs4	Q99LB2	-0.7075688	0.000722859	9	1.004	1.029	0.95	1.049	0.632	0.622	0.622	0.593
Dhrs7	Q9CXR1	0.1805722	0.001613174	7	1.035	0.954	0.976	1.055	1.175	1.102	1.074	1.205
Dhrs7b	Q99J47	0.2001452	0.04341968	12	1.017	1.039	0.981	0.968	1.191	1.082	1.106	1.222
Dhrs9	Q58NB6	0.5446211	0.003834626	7	1.029	0.925	1.033	0.99	1.547	1.302	1.381	1.571
Dhrsx	Q8VBZ0	0.01549556	0.7683371	5	0.957	0.955	1.003	1.067	1.048	0.992	0.944	1.041
Dhtkd1	A2ATU0	-0.1962852	0.00848018	7	1.021	0.961	1.002	1.041	0.875	0.892	0.838	0.908
Dhx15	O35286	0.238696	0.03124658	17	1.036	0.967	0.956	1.076	1.187	1.243	1.192	1.139
Dhx29	Q6PGC1	-0.335603	0.04335401	16	1.021	0.964	0.984	1.059	0.755	0.917	0.797	0.723
Dhx30	Q99PU8	-0.05139359	0.3605942	15	0.96	1.002	0.978	1.089	0.899	1.045	0.965	0.979
Dhx36	Q8VHK9	-0.05351343	0.5645125	9	1.012	0.946	0.979	1.1	0.92	1.053	0.973	0.944
Dhx57	Q6P5D3	-0.2317004	0.09348929	5	0.989	0.995	0.981	1.052	0.737	0.981	0.905	0.798
Dhx9	O70133	-0.6295511	0.03798134	14	0.836	0.971	0.991	1.26	0.571	0.761	0.687	0.604
Diablo	Q9JIQ3	0.4687648	0.02646787	6	1.052	0.947	1.068	0.939	1.472	1.25	1.255	1.567
Diaph1	O08808	-0.5822674	0.0051654	18	1.052	0.944	0.986	1.029	0.655	0.732	0.67	0.622
Diaph2	O70566	-0.2414617	0.01099796	19	1.062	0.969	0.986	1.032	0.892	0.874	0.852	0.807
Dicer1	Q8R418	-0.2410403	0.1094806	3	1.1	0.972	0.94	1.063	0.844	0.983	0.843	0.778
Dido1	Q8C9B9	0.03088945	0.7641393	16	1.027	1	0.942	1.051	0.961	1.133	1.079	0.934
Diexf	Q8BTT6	0.5550666	3.39E-05	1	1.006	1.022	0.912	1.107	1.482	1.465	1.412	1.587
Dimt1	Q9D0D4	0.1046648	0.01644672	1	0.976	0.955	1.064	0.992	1.061	1.008	1.178	1.04
Dip2a	Q8BWT5	-0.231868	0.1212714	3	1.215	0.945	1.002	0.886	0.894	0.851	0.809	0.893
Dip2b	Q3UH60	-0.4361205	0.01172767	5	0.999	0.94	0.963	1.073	0.736	0.787	0.723	0.692
Dirc2	Q8BFQ6	-0.5585033	0.005565393	2	0.992	0.982	1.041	1.01	0.755	0.574	0.648	0.756
Dis3	Q9CSH3	0.2394156	0.02798397	10	1.004	0.98	0.983	1.077	1.151	1.265	1.206	1.152
Dis3l2	Q8CI75	-0.2188161	0.07093543	3	1.055	1.03	0.922	1.022	0.79	0.973	0.866	0.833
Dixdc1	Q80Y83	-0.2680305	0.1629259	1	0.947	1.135	1.032	0.82	0.68	0.786	0.919	0.882
Dkc1	Q9ESX5	0.07444889	0.1653811	4	1.008	0.959	1.033	1.022	0.981	1.07	1.107	1.077
Dlat	Q8BMF4	0.6023294	0.000165021	17	1.026	1.003	0.985	0.977	1.567	1.458	1.538	1.496
Dlc1	Q9R0Z9	-0.4591601	0.004636197	7	1.015	0.988	1.026	0.955	0.641	0.756	0.809	0.692
Dld	O08749	0.2820387	0.000114666	16	1.016	0.992	0.993	0.996	1.252	1.213	1.199	1.196
Dlg1	Q811D0	-0.05869651	0.1830134	18	0.988	0.971	1.056	0.948	0.944	0.982	0.957	0.922
Dlg5	E9Q9R9	-0.7140321	0.0146005	4	0.954	0.862	1.11	1.193	0.621	0.57	0.763	0.557
Dlgap4	B1AZP2	0.1243782	0.5166826	5	0.937	1.067	1.119	0.842	1.131	0.908	1.062	1.221
Dlk1	Q09163	-2.436163	0.000222737	1	0.988	0.944	1.1	0.935	0.197	0.16	0.183	0.193
Dlst	Q9D2G2	0.2018222	0.001799447	13	1.025	0.967	1.027	0.977	1.187	1.099	1.149	1.161
Dmap1	Q9JI44	0.7228461	0.02071301	2	1.07	0.99	0.933	1.032	1.663	1.399	2.01	1.571
Dmd	P11531	-0.3577993	0.03308079	4	0.954	0.984	0.993	1.08	0.709	0.92	0.769	0.732
Dmrta2	A2A9A2	-0.2087088	0.549892	1	0.715	0.845	1.308	1.067	0.94	1.032	0.9	0.533
Dmtn	Q9WV69	-0.3221961	0.1204801	1	0.89	1.052	0.944	1.151	0.809	0.678	0.941	0.801
Dmxl1	Q6PNC0	-0.1391218	0.2004639	16	1.012	1.01	0.951	1.041	0.86	1.035	0.928	0.822
Dnaaf5	B9EJR8	0.1224882	0.1342369	13	1.009	1.009	0.998	0.979	1.145	1.024	1.014	1.166
Dnah17	Q69Z23	-1.179166	0.000902705	1	1.019	0.977	0.962	1.075	0.428	0.523	0.41	0.42
Dnaja1	P63037	-0.1358154	0.1191124	9	1.004	1.001	1.05	0.874	0.94	0.866	0.881	0.889
Dnaja2	Q9QYJ0	0.3122169	0.03182362	7	1.018	1.002	1.058	0.887	1.305	1.107	1.233	1.278
Dnaja3	Q99M87	0.7240827	0.002996754	12	1.052	0.984	0.971	1.02	1.606	1.738	1.78	1.528
Dnaja4	Q9JMC3	0.4510399	0.00324207	3	1.035	0.95	1.023	0.989	1.429	1.374	1.264	1.397
Dnajb1	Q9QYJ3	0.1514936	0.09389564	5	1.049	1.071	0.96	0.885	1.066	1.123	1.171	1.044
Dnajb11	Q99KV1	0.5185701	0.001362002	9	1.01	1.016	1.028	0.911	1.519	1.355	1.432	1.374
Dnajb12	Q9QYI4	0.1016303	0.1552462	8	1.029	0.949	1.052	0.916	1.089	0.977	1.069	1.099
Dnajb14	Q149L6	0.09450529	0.09161895	6	1.058	0.939	1.027	0.979	1.053	1.044	1.082	1.095
Dnajb2	Q9QYI5	-0.07223403	0.223186	6	1	0.966	1.072	0.914	0.984	0.929	0.932	0.914
Dnajb4	Q9D832	-0.2088315	0.003189826	6	1.01	1.039	0.992	1.018	0.831	0.915	0.853	0.913
Dnajb5	O89114	-0.2667244	0.01695728	1	1.049	1.026	0.982	0.936	0.778	0.882	0.837	0.822
Dnajb6	O54946	0.01791746	0.9000304	5	0.968	1.114	0.929	0.99	0.873	1.208	1.157	0.813
Dnajb9	Q9QYI6	-0.04285004	0.6866989	3	0.91	1.179	0.982	0.927	0.825	1.153	1.133	0.77
Dnajc1	Q61712	-0.5889827	0.004420676	9	0.983	0.967	1.029	0.974	0.608	0.748	0.614	0.658
Dnajc10	Q9DC23	0.2309015	0.01721909	14	0.994	1.01	0.963	1.066	1.179	1.21	1.206	1.138
Dnajc11	Q5U458	0.1537893	0.01015447	13	1.013	0.987	0.986	1.05	1.134	1.15	1.086	1.12
Dnajc15	Q78YY6	0.2100122	0.04527999	5	0.982	1.037	0.96	1.067	1.061	1.21	1.248	1.161
Dnajc16	Q80TN4	-0.316895	0.001003509	2	0.956	1.083	0.981	0.986	0.785	0.859	0.81	0.762
Dnajc17	Q91WT4	0.08977181	0.01833386	1	1.043	0.923	1.03	1.007	1.113	0.947	1.113	1.087
Dnajc19	Q9CQV7	0.4558209	0.05943821	6	0.967	1.057	0.904	1.109	1.181	1.63	1.512	1.214
Dnajc2	P54103	0.1573539	0.02223863	9	0.99	1.005	1.05	0.938	1.138	1.094	1.104	1.106
Dnajc21	E9Q8D0	0.222445	0.06382304	5	0.965	1.035	0.954	0.963	1.036	1.165	1.283	1.086
Dnajc24	Q91ZF0	-0.1816564	0.5518599	1	0.974	1.051	1.127	0.753	1.179	0.63	0.719	0.915
Dnajc25	A2ALW5	-0.07234464	0.0941915	3	1.003	1.015	0.97	0.999	0.915	0.981	0.971	0.925
Dnajc28	Q8VCE1	-0.4240658	0.007147028	5	0.949	1.013	1.077	0.915	0.746	0.759	0.718	0.724
Dnajc3	Q91YW3	0.1192649	0.04482156	15	1.033	0.963	0.989	1.053	1.107	1.12	1.075	1.084
Dnajc4	Q9D844	0.4008184	0.03662355	1	1.152	0.912	0.933	1.056	1.37	1.414	1.383	1.184
Dnajc5	P60904	0.02071231	0.8419976	3	1.124	0.888	0.976	1.023	1.071	0.874	0.891	1.233
Dnajc7	Q9QYI3	-0.0121066	0.9010289	15	1.011	0.974	1.088	0.876	1.04	0.908	0.949	1.019
Dnajc8	Q6NZB0	0.1445988	0.3033326	7	0.988	1.019	1.06	0.879	1.157	0.958	1.059	1.188
Dnajc9	Q91WN1	0.3421591	0.02382299	3	1.004	0.988	1.043	0.888	1.362	1.128	1.216	1.267
Dnal4	Q9DCM4	-0.1791506	0.3586922	1	0.97	1.132	1.046	0.774	0.882	0.788	0.859	0.935
Dnm1	P39053	-1.29837	0.000512371	12	1	0.925	0.986	1.098	0.395	0.401	0.429	0.405
Dnm1l	Q8K1M6	0.2125892	0.01199935	34	1.028	0.981	1.008	0.97	1.21	1.093	1.118	1.199
Dnm2	P39054	-0.07529449	0.2676043	17	1.028	0.954	0.959	1.11	0.957	0.981	0.945	0.962
Dnmbp	Q6TXD4	-0.6634794	0.001341538	5	1.023	0.962	0.983	1.006	0.64	0.621	0.686	0.562
Dnmt1	P13864	-0.03968079	0.588577	1	0.935	1.084	1.055	0.87	0.81	1.125	1.11	0.792
Dnpep	Q9Z2W0	0.07529422	0.05288763	11	0.987	0.977	0.986	1.063	1.044	1.069	1.044	1.071
Dnph1	Q80VJ3	-0.4891012	0.02232286	1	1.03	0.9	1.049	1.031	0.544	0.692	0.815	0.806
Dnttip1	Q99LB0	-0.1834647	0.09757433	3	0.998	1	1.04	0.923	0.961	0.822	0.813	0.892
Dnttip2	Q8R2M2	0.03601243	0.8577592	1	0.952	0.911	0.962	1.25	1.03	1.123	1.136	0.889
Dock1	Q8BUR4	-0.6424394	0.006676019	9	1.012	0.959	0.966	1.134	0.656	0.683	0.656	0.613
Dock11	A2AF47	-1.651614	0.000569221	10	1.049	0.977	0.964	1.019	0.256	0.358	0.357	0.305
Dock4	P59764	-0.4904536	0.000862195	2	1.032	0.987	0.959	1.047	0.695	0.752	0.655	0.763
Dock5	B2RY04	-0.1297507	0.1249799	11	0.991	0.983	0.961	1.018	0.848	0.975	0.937	0.853
Dock7	Q8R1A4	-0.2808741	0.008160137	18	0.999	0.954	1.032	1.051	0.786	0.859	0.842	0.835
Dock9	Q8BIK4	-0.03443	0.5685932	8	1.015	0.98	0.951	1.04	0.947	1.048	0.953	0.944
Dohh	Q99LN9	-0.1132255	0.5964857	4	0.996	1.023	1.11	0.819	0.99	0.77	0.818	1.072
Dok1	P97465	-0.9163922	0.009550546	1	0.969	1.025	0.906	1.156	0.467	0.621	0.593	0.468
Dolk	Q8R2Y3	0.0622084	0.08050308	3	1.031	1.025	0.943	1.018	1.059	1.077	1.031	1.027
Dopey1	Q8BL99	-0.8305808	0.3233196	1	0.986	1.202	1.177	0.439	0.947	0	0.394	0.798
Dopey2	Q3UHQ6	-0.1442378	0.02233691	7	1.038	0.994	0.945	1.017	0.879	0.921	0.882	0.932
Dpagt1	P42867	0.1391379	0.07648104	2	0.997	0.955	1.011	1.047	1.178	0.982	1.057	1.199
Dpep1	P31428	-1.081904	0.001524659	7	0.999	0.973	1.081	0.897	0.486	0.441	0.448	0.491
Dpep3	Q9DA79	-0.492102	0.03002263	1	1.095	1.023	0.98	0.888	0.675	0.631	0.741	0.787
Dpf2	Q61103	0.4165248	0.04190574	3	1.107	1.054	0.885	0.832	1.246	1.243	1.414	1.273
Dph1	Q5NCQ5	0.1337924	0.1102346	2	1.041	0.996	0.937	1.06	1.091	1.12	1.145	1.07
Dph2	Q9CR25	0.4973022	0.01056829	2	1.047	0.87	1.149	0.892	1.526	1.376	1.346	1.339
Dph5	Q9CWQ0	0.2253183	0.1696119	3	0.994	1.05	1.049	0.918	1.246	1.081	1.048	1.314
Dph6	Q9CQ28	0.2975968	0.1470645	2	0.939	0.92	1.451	0.78	1.319	0.878	1.566	1.264
Dph7	Q9CYU6	-0.5313561	0.01290813	2	0.929	1.009	1.024	1.04	0.625	0.774	0.803	0.567
Dpm1	O70152	0.159708	0.03786618	9	1.024	1.015	0.967	1.009	1.195	1.037	1.095	1.158
Dpm3	Q9D1Q4	0.2053597	0.04599543	2	0.996	1.032	0.964	0.976	1.221	1.052	1.122	1.18
Dpp3	Q99KK7	-0.08697118	0.04883904	21	1.028	0.953	0.993	1.06	0.99	0.935	0.904	0.969
Dpp7	Q9ET22	-0.3905875	0.05902135	5	0.964	1.037	1.032	0.926	0.87	0.617	0.72	0.813
Dpp8	Q80YA7	0.07343904	0.02110436	4	0.966	1.013	0.976	1.028	1.041	1.08	1.018	1.052
Dpp9	Q8BVG4	-0.3769867	0.008055495	12	1.043	1.011	0.962	1.05	0.769	0.859	0.768	0.735
Dpt	Q9QZZ6	-1.91959	0.003632699	1	0.879	1.218	0.981	0.83	0.179	0.252	0.346	0.256
Dpy19l1	A6X919	0.4353801	0.003206829	2	0.908	1.053	0.972	1.081	1.339	1.295	1.363	1.431
Dpy19l4	A2AJQ3	-0.681347	6.74E-05	2	0.965	0.997	1.009	0.998	0.617	0.636	0.624	0.598
Dpysl2	O08553	-0.8279626	8.91E-05	19	1.014	0.965	1.032	1.008	0.574	0.568	0.564	0.558
Dpysl3	Q62188	-1.52456	0.000144045	11	0.945	0.982	1.014	1.035	0.334	0.386	0.322	0.34
Dpysl4	O35098	-1.037247	0.002511404	1	0.973	0.915	1.07	1.044	0.489	0.536	0.435	0.49
Dr1	Q91WV0	0.2392941	0.1112571	2	0.968	1	1.084	0.9	1.241	0.988	1.195	1.241
Dram1	Q9DC58	-1.000718	0.000325574	1	0.961	1.048	0.949	1.064	0.495	0.492	0.5	0.523
Dram2	Q9CR48	-0.4709857	0.005536611	1	1.08	1.012	0.976	0.928	0.698	0.739	0.713	0.733
Drap1	Q9D6N5	0.1319117	0.3489509	3	1.004	1.003	1.067	0.874	1.159	0.978	1.007	1.182
Drg1	P32233	-0.09110856	0.110066	9	0.979	1.026	0.977	1.005	0.947	0.918	0.872	1.006
Drg2	Q9QXB9	-0.01820689	0.6821317	10	0.96	0.987	1.024	1.016	0.978	0.967	0.937	1.055
Dscr3	O35075	-0.1679137	0.08976722	2	1.065	0.932	0.981	1.054	0.884	0.905	0.941	0.859
Dsg1a	Q61495	0.003129114	0.9944312	3	0.892	0.892	0.883	1.478	0.544	1.449	1.334	0.827
Dsp	E9Q557	-0.06943632	0.8728323	17	0.909	0.815	1.03	1.332	0.625	1.477	1.091	0.701
Dst	Q91ZU6	-0.6347627	0.009419819	51	0.995	0.997	0.944	1.087	0.606	0.747	0.665	0.573
Dstn	Q9R0P5	-0.08536477	0.1741461	6	0.961	1.165	1.002	0.823	0.887	1.025	0.995	0.817
Dstyk	Q6XUX1	-0.2989765	0.01993715	3	0.974	1.013	1.007	0.997	0.736	0.845	0.928	0.735
Dtd1	Q9DD18	-0.2169006	0.1221385	3	1.032	1.047	0.972	0.882	0.82	0.803	1.015	0.746
Dtd2	Q8BHA3	-0.4706909	0.000996559	4	1.036	1.032	0.975	1.009	0.739	0.725	0.758	0.702
Dtnbp1	Q91WZ8	0.3354936	0.08288937	1	1.017	1.015	1.02	0.928	1.39	1.102	1.112	1.418
Dtx2	Q8R3P2	-0.3967486	0.07972881	4	1.01	1.01	0.922	1.134	0.707	0.938	0.801	0.65
Dtx3l	Q3UIR3	-0.4819184	0.007200192	7	1.084	0.94	1.013	0.988	0.748	0.783	0.705	0.646
Dtymk	P97930	0.1249299	0.3017915	13	0.998	1.102	0.951	0.951	1.169	0.983	1.057	1.155
Dus1l	Q8C2P3	0.228051	0.1988457	2	1.166	0.84	0.973	1.056	1.113	1.249	1.254	1.11
Dus2	Q9D7B1	0.4174265	0.002301138	4	0.999	0.966	1.029	0.928	1.361	1.246	1.295	1.336
Dus3l	Q91XI1	0.2711493	0.008854482	3	1.021	0.971	0.983	1.073	1.246	1.263	1.176	1.2
Dusp22	Q99N11	-0.1131154	0.0109162	3	0.979	0.978	0.997	1.064	0.895	0.898	0.959	0.963
Dusp23	Q6NT99	-0.2612254	0.01444623	1	0.916	1.092	0.988	0.989	0.776	0.857	0.9	0.792
Dusp3	Q9D7X3	-0.4731552	0.4082127	1	0.434	1.034	1.114	1.445	0.632	1.275	0.451	0.543
Dvl2	Q60838	-0.02815639	0.2021059	6	0.969	1.058	0.983	0.974	0.98	1.046	0.943	0.938
Dvl3	Q61062	-1.880588	0.4251368	2	0	0	3.239	5.267	2.31	0	0	0
Dym	Q8CHY3	-0.1455957	0.1020982	6	0.953	1.014	0.988	1.014	0.927	0.845	0.825	0.991
Dync1h1	Q9JHU4	-0.2659069	0.0022799	140	1	1.055	0.939	1.028	0.812	0.895	0.814	0.824
Dync1i2	O88487	-0.08565608	0.0903353	9	0.964	1.048	1.028	0.95	0.963	0.94	0.987	0.87
Dync1li1	Q8R1Q8	-0.03614302	0.2722926	15	1.025	0.943	1.011	0.982	0.983	0.963	0.947	0.97
Dync1li2	Q6PDL0	-0.3196036	0.01646166	10	1.027	0.958	0.986	1.06	0.793	0.869	0.79	0.778
Dync2h1	Q45VK7	-0.6536578	0.01415702	2	1.082	0.99	0.896	1.075	0.625	0.551	0.741	0.653
Dync2li1	Q8K0T2	-0.5616569	0.001216446	1	0.979	0.996	0.976	1.071	0.729	0.674	0.604	0.718
Dynll1	P63168	-0.6370326	0.001108995	2	0.983	1	0.997	1.054	0.686	0.63	0.563	0.715
Dynll2	Q9D0M5	0.00644861	0.8768694	2	1.003	0.954	1.018	1.043	1.067	0.985	0.962	1.022
Dynlrb1	P62627	-0.4598816	0.002651923	3	0.965	1.026	1.03	0.987	0.777	0.738	0.735	0.664
Dyrk1a	Q61214	0.1731927	0.02065333	3	0.914	0.93	1.1	0.976	1.013	1.106	1.159	1.142
Dysf	Q9ESD7	-0.981412	0.000667831	17	0.977	1	0.965	1.068	0.487	0.576	0.485	0.483
E130311K13Rik	Q8BN57	0.01000387	0.8086273	6	1.014	1.03	0.96	1.02	1.019	0.977	0.96	1.096
E2f4	Q8R0K9	-0.449077	0.007660714	2	1.027	0.989	1.043	0.915	0.741	0.682	0.717	0.771
Ears2	Q9CXJ1	0.1635498	0.003177779	6	0.988	1.021	1.024	0.999	1.115	1.102	1.155	1.144
Ebf1	Q07802	-0.251047	0.009212506	4	1.04	1.017	0.962	1.032	0.826	0.863	0.872	0.843
Ebna1bp2	Q9D903	0.6153808	0.02621094	1	0.574	1.165	0.965	1.332	1.159	1.984	1.522	1.518
Ebp	P70245	0.1137005	0.02007243	1	1.059	0.996	0.987	0.958	1.14	1.047	1.05	1.091
Ebpl	Q9D0P0	-0.1370725	0.02568145	1	1.036	0.969	0.986	1.025	0.885	0.924	0.902	0.941
Ecd	Q9CS74	-0.0545465	0.6724799	1	0.883	1.056	1.106	0.89	0.864	0.978	0.893	1.054
Ece1	Q4PZA2	-0.5663191	0.002786875	3	0.989	0.979	1.034	0.996	0.671	0.715	0.608	0.706
Ech1	O35459	0.5899018	0.007903258	12	1.017	0.991	1.055	0.922	1.565	1.321	1.49	1.622
Echdc1	Q9D9V3	-0.4151581	0.01255024	12	1.017	1.058	0.994	0.918	0.817	0.685	0.731	0.757
Echdc2	Q3TLP5	-0.109376	0.1628345	9	1.023	0.966	1.006	0.977	1	0.814	0.88	0.988
Echdc3	Q9D7J9	-0.403437	0.005819611	6	1.017	0.977	1.052	0.959	0.787	0.701	0.736	0.804
Echs1	Q8BH95	0.4107231	0.03008014	13	0.943	1.165	0.981	0.846	1.255	1.273	1.491	1.212
Eci1	P42125	0.04352298	0.408624	10	0.999	1.04	0.953	1.024	1.034	1.025	1.073	1.007
Eci2	Q9WUR2	0.2525026	0.007110133	11	1.003	0.983	1.01	1.014	1.248	1.12	1.156	1.253
Ecm1	Q61508	-1.255397	4.34E-06	1	0.924	1.031	1.017	1.022	0.347	0.466	0.438	0.422
Ecm29	Q6PDI5	0.0553527	0.0793194	23	1.026	0.987	0.988	1.013	1.048	1.055	0.994	1.074
Ecsit	Q9QZH6	0.4223464	0.00390318	6	0.996	0.981	1.022	0.988	1.329	1.316	1.264	1.434
Edc3	Q8K2D3	-0.1384888	0.01531563	6	0.984	0.999	1.059	0.913	0.865	0.934	0.935	0.859
Edc4	Q3UJB9	-0.1999765	0.1186942	20	1.004	0.965	0.984	1.049	0.807	0.947	0.944	0.786
Edem3	Q2HXL6	0.1670016	0.2057333	4	0.987	0.989	1.082	0.894	1.093	1.066	1.054	1.224
Edf1	Q9JMG1	0.04741014	0.7922407	4	0.978	1.117	0.887	1.029	0.903	1.19	1.226	0.826
Edil3	O35474	-0.7707727	0.000231843	2	0.921	1.074	0.964	1.042	0.55	0.662	0.557	0.576
Edrf1	Q6GQV7	-0.885242	0.4106092	1	2.476	0.566	0.581	0.544	0.501	0.58	0.5	0.675
Eea1	Q8BL66	-0.1587146	0.05418578	41	1.009	0.984	1.061	0.92	0.956	0.839	0.885	0.88
Eef1a1	P10126	-0.03404107	0.6462849	13	1.037	0.982	0.952	1.06	0.993	1.029	1.001	0.914
Eef1b	O70251	0.1539215	0.5829088	6	1.001	1.051	1.104	0.752	1.327	0.817	0.952	1.252
Eef1d	P57776	0.1946119	0.1891529	11	0.978	1.005	1.087	0.87	1.24	0.961	1.133	1.175
Eef1e1	Q9D1M4	-0.1595574	0.05494737	5	1.051	0.981	0.946	1.043	0.879	0.844	0.934	0.943
Eef1g	Q9D8N0	-0.07226043	0.07143009	15	1.003	0.996	0.975	1.038	0.96	0.984	0.932	0.94
Eef2	P58252	0.06997748	0.01896244	31	1.022	0.988	1.019	0.975	1.07	1.029	1.049	1.055
Eef2k	O08796	-0.1371422	0.1386563	8	0.982	1.047	1.053	0.91	0.95	0.866	0.9	0.914
Eefsec	Q9JHW4	0.007158015	0.9322279	3	1.024	0.876	0.986	1.135	1.033	1.01	0.994	1.004
Efcab14	Q8BGQ6	-0.1942525	0.08669386	1	0.926	0.976	1.082	0.993	0.898	0.773	0.863	0.942
Efcc1	Q9JJF6	0.7045856	0.03937567	1	0.9	1.034	1.082	0.94	1.752	1.302	1.457	1.936
Efemp2	Q9WVJ9	-0.5116238	0.0388576	2	0.953	0.872	0.974	1.18	0.651	0.782	0.681	0.677
Efhd2	Q9D8Y0	0.2688205	0.2324638	3	0.964	0.984	1.06	0.849	1.286	0.841	1.199	1.321
Efl1	Q8C0D5	0.08262229	0.05943082	14	1.027	0.954	1.003	1.02	1.074	1.069	1.056	1.041
Efnb1	P52795	0.08591446	0.1319567	1	0.989	0.962	0.942	1.165	1.134	1.03	0.95	1.193
Efr3a	Q8BG67	-0.5751147	0.008505106	4	0.925	0.933	1.036	1.121	0.625	0.707	0.721	0.642
Eftud2	O08810	0.2277331	0.003648049	17	1.01	1.002	0.984	1.01	1.228	1.167	1.103	1.193
Egln1	Q91YE3	0.1176734	0.1379264	7	0.999	1.045	0.986	0.959	1.014	1.131	1.189	0.994
Ehbp1	Q69ZW3	-0.5957531	0.006807405	9	0.95	1.004	0.953	1.119	0.613	0.76	0.654	0.637
Ehbp1l1	Q99MS7	-0.5284759	0.002358913	27	0.995	1.015	0.961	1.036	0.67	0.788	0.664	0.656
Ehd1	Q9WVK4	-0.2340161	0.03611766	12	1.018	0.997	1.048	0.904	0.881	0.789	0.836	0.867
Ehd2	Q8BH64	-0.4835441	0.001792502	22	1.011	0.983	1.015	0.973	0.743	0.671	0.677	0.757
Ehd3	Q9QXY6	0.7149772	0.000784579	5	0.963	1.006	1.003	1.008	1.668	1.552	1.578	1.735
Ehd4	Q9EQP2	0.2125446	0.008790214	12	0.983	0.983	1.044	0.959	1.16	1.112	1.148	1.179
Ehhadh	Q9DBM2	0.01954509	0.6483462	2	0.998	0.97	1.085	0.906	1.004	1.035	1.027	0.947
Ehmt1	Q5DW34	-0.03305717	0.8307511	2	0.998	1.385	1.021	0.878	0.96	1.126	0.973	1.126
Ehmt2	Q9Z148	-1.341613	0.2819057	2	1.86	0.828	0.254	0.231	0.285	0.604	0.211	0.152
Ei24	Q61070	-0.4923046	0.006178316	1	0.953	1.045	0.993	1.004	0.739	0.673	0.644	0.784
Eif1	P48024	0.2086141	0.3047115	2	1.112	0.79	1.039	1.102	1.623	0.925	1.114	1.01
Eif1a	Q60872	0.2282779	0.2732274	1	0.944	1.148	0.995	0.862	1.293	1.01	1.059	1.264
Eif1ad	Q3THJ3	0.04349803	0.7619399	2	0.974	1.059	1.031	0.889	1.09	0.853	1.024	1.107
Eif1ax	Q8BMJ3	0.2043723	0.3542707	1	0.903	1.104	1.057	0.872	1.291	0.953	1.043	1.248
Eif2a	Q8BJW6	-0.02121913	0.9076145	13	0.987	1.024	0.9	1.13	0.883	1.143	1.125	0.831
Eif2ak2	Q03963	-0.224908	0.002564651	8	1.048	0.96	1.016	0.994	0.875	0.859	0.866	0.838
Eif2ak3	Q9Z2B5	0.05010596	0.7378948	1	1.15	0.892	1.004	0.972	0.957	1.172	1.038	0.993
Eif2ak4	Q9QZ05	-0.3068221	0.03009307	2	0.948	1	0.971	1.095	0.774	0.872	0.841	0.758
Eif2b1	Q99LC8	0.03475678	0.8641799	6	1.039	0.977	1.06	0.902	1.173	0.738	0.926	1.238
Eif2b2	Q99LD9	0.2197616	0.08870546	6	1.023	1.011	0.997	0.968	1.226	1.036	1.097	1.298
