GeneSymbol	Geneid	Chromosome	logFC_RNA	Fold FC	logCPM	PValue	FDR_RNA	K1ControlOE_1	K1ControlOE_2	K1ControlOE_3	Foxk1OE_1	Foxk1OE_2	Foxk1OE_3
Odf3l1	ENSMUSG00000045620.6	chr9	1.23950483	2.361	2.936011089	4.82E-23	3.19E-21	4.09767556	4.648796296	3.601119548	9.865600029	9.548109502	9.920969537
Sh3bp4	ENSMUSG00000036206.12	chr1	0.798056061	1.739	5.239674924	5.23E-23	3.45E-21	5.277678177	5.463859658	5.304755499	9.46829474	9.283065576	9.365449773
L1cam	ENSMUSG00000031391.18	chrX	1.312211585	2.483	2.727099246	5.89E-23	3.88E-21	0.304805278	0.675512564	0.536611671	1.115001815	1.158278	1.50105438
Extl1	ENSMUSG00000028838.11	chr4	3.024261736	8.136	0.582330549	5.95E-23	3.91E-21	0.073832197	0.066592656	0.061478003	0.53134176	0.646953794	0.506622661
Aff3	ENSMUSG00000037138.16	chr1	-0.932592777	0.524	4.158551456	6.66E-23	4.37E-21	3.67131415	3.33325646	3.619812465	1.871811594	1.80327676	1.938447086
Dnajc28	ENSMUSG00000039763.9	chr16	-0.879882862	0.543	4.503322496	6.81E-23	4.46E-21	8.442448526	8.359894673	7.837468464	4.509428684	4.159793022	4.82754125
Rdh1	ENSMUSG00000089789.1	chr10	2.834610965	7.134	0.720570877	7.04E-23	4.61E-21	0.081403285	0.176211284	0.027112894	0.558580139	0.802457287	0.6649691
Lpcat1	ENSMUSG00000021608.14	chr13	-1.023259789	0.492	3.665016381	7.13E-23	4.66E-21	4.220615507	3.646114742	4.384924869	2.00895721	2.132708005	1.935798934
Map7d2	ENSMUSG00000041020.14	chrX	0.757037557	1.69	5.773731306	7.14E-23	4.66E-21	8.823989704	11.41300516	9.178974613	15.83781532	17.39459533	16.80495192
Tle3	ENSMUSG00000032280.16	chr9	0.765487896	1.7	5.630514417	7.34E-23	4.79E-21	3.01530259	3.26356816	3.095204561	4.888752656	5.880843577	5.2791345
Crim1	ENSMUSG00000024074.7	chr17	-0.798816328	0.575	5.165607463	8.07E-23	5.26E-21	8.262467403	6.911626739	7.527186167	4.26013513	4.559081768	4.33302517
Gys1	ENSMUSG00000003865.16	chr7	0.688283313	1.611	7.549857663	8.15E-23	5.30E-21	28.54673322	31.93346582	28.98019645	47.32576194	48.22882478	49.71272331
Wbp1l	ENSMUSG00000047731.17	chr19	0.694031702	1.618	7.252189584	8.87E-23	5.76E-21	25.43501553	25.56376413	26.87119884	39.50563321	44.50601427	42.95625885
Hspb1	ENSMUSG00000004951.10	chr5	1.233704327	2.352	2.918783099	9.02E-23	5.85E-21	4.137276575	4.086102099	4.547392502	10.12675095	9.759134833	10.44317524
Slco1a4	ENSMUSG00000030237.14	chr6	-4.434645713	0.046	-0.099893071	9.84E-23	6.36E-21	0.232762122	0.21593712	0.307334421	0.008347669	0.023413494	0
Mrps6	ENSMUSG00000039680.9	chr16	-0.705178115	0.613	6.812179814	9.83E-23	6.36E-21	142.943937	120.7892371	131.5477461	83.13493646	80.48269548	80.75756066
Plec	ENSMUSG00000022565.15	chr15	-0.683091228	0.623	7.688079456	1.10E-22	7.08E-21	13.94722804	12.8270977	15.15094066	8.681759337	8.799471684	8.838541801
Nrbf2	ENSMUSG00000075000.11	chr10	0.794624017	1.735	5.176460146	1.46E-22	9.42E-21	15.8524145	13.68266407	12.71769661	24.66959735	24.59841803	24.61586903
Lrrk1	ENSMUSG00000015133.17	chr7	-0.91244943	0.531	4.233295048	1.48E-22	9.52E-21	2.524473281	2.077239885	2.501793847	1.19478495	1.24817297	1.364093107
Tob2	ENSMUSG00000048546.7	chr15	0.681160822	1.603	7.641431511	1.72E-22	1.10E-20	36.88553245	39.83581665	37.9233971	57.93898535	64.53402567	62.77484781
Trpc1	ENSMUSG00000032839.13	chr9	0.794713229	1.735	5.173330481	1.76E-22	1.13E-20	3.074317224	3.665216644	3.038703788	5.760927113	5.273861786	6.046780157
Akr1b7	ENSMUSG00000052131.7	chr6	1.817429449	3.525	1.688518615	1.87E-22	1.20E-20	0.874084457	1.261403178	1.03975092	3.678135513	3.790500259	3.79452859
Bcl6	ENSMUSG00000022508.5	chr16	0.703960472	1.629	6.715816397	1.91E-22	1.22E-20	11.97691396	11.93805147	11.68114534	19.09929258	19.7094232	19.62726764
Psph	ENSMUSG00000029446.14	chr5	0.766168741	1.701	5.507464039	1.94E-22	1.24E-20	7.685643511	8.051825831	7.421097899	12.80108989	12.9510316	13.93292289
Gars	ENSMUSG00000029777.10	chr6	0.671648091	1.593	8.137359935	2.17E-22	1.38E-20	68.12337934	73.30677531	66.51490987	112.6629744	111.3506732	109.7782328
Gpc4	ENSMUSG00000031119.4	chrX	-0.728387147	0.604	6.088176433	2.18E-22	1.39E-20	35.21759144	29.14847704	31.25065325	19.5707844	19.80795709	18.78915216
Rasa4	ENSMUSG00000004952.13	chr5	-1.085980104	0.471	3.345346691	2.56E-22	1.63E-20	1.873471869	1.665355539	1.950281013	0.937073539	0.916226162	0.754146919
Sigmar1	ENSMUSG00000036078.16	chr4	-0.678278757	0.625	7.614131332	2.57E-22	1.63E-20	75.9491873	75.22805829	78.60711911	46.81505951	48.5735477	49.33324324
Csf1	ENSMUSG00000014599.10	chr3	-0.740078843	0.599	5.846452189	2.71E-22	1.72E-20	14.3671943	12.18438797	14.15402434	8.242682309	7.76321583	8.570886324
Tmem140	ENSMUSG00000057137.9	chr6	-0.703354973	0.614	6.638158814	2.72E-22	1.73E-20	21.51714278	20.11391741	21.37263175	12.97155048	13.05973724	12.96618169
Top2a	ENSMUSG00000020914.17	chr11	0.928287982	1.903	4.116883825	3.19E-22	2.02E-20	1.348803575	1.331799916	1.241333163	2.934619245	2.377104773	2.215225808
Hint1	ENSMUSG00000020267.6	chr11	0.664993308	1.586	8.430954655	3.35E-22	2.12E-20	298.9418962	311.5767109	303.7757274	480.0355096	488.2956098	492.696348
Htra3	ENSMUSG00000029096.15	chr5	-0.93677955	0.522	4.026056628	3.43E-22	2.17E-20	5.04483978	4.368166176	4.9568222	2.231417151	2.796665095	2.531496466
Acsf2	ENSMUSG00000076435.3	chr11	0.676170562	1.598	7.618465093	3.63E-22	2.29E-20	39.95829213	44.99702998	46.61723251	68.4563159	73.81812067	69.61261569
Elmo2	ENSMUSG00000017670.16	chr2	-0.76439295	0.589	5.415556565	4.42E-22	2.79E-20	7.967413853	7.912024384	8.249420065	4.604028164	4.552784146	5.162227494
Alpl	ENSMUSG00000028766.10	chr4	1.378623482	2.6	2.460157477	4.49E-22	2.82E-20	0.80646374	0.744080873	0.647301022	1.938290277	2.085234904	1.73660316
Grk6	ENSMUSG00000074886.10	chr13	-0.731305836	0.602	5.921633195	4.49E-22	2.82E-20	23.29525425	23.12997372	23.32608205	14.0586854	14.42586193	13.85281848
Tmem158	ENSMUSG00000054871.4	chr9	-1.933517295	0.262	1.407241989	4.53E-22	2.84E-20	2.062576891	2.598912957	2.430063588	0.741920784	0.635841279	0.482832067
Col27a1	ENSMUSG00000045672.15	chr4	0.865530817	1.822	4.492673288	4.56E-22	2.86E-20	1.224268654	1.143370635	1.26011871	2.228516115	2.160391952	2.279789007
Phgdh	ENSMUSG00000053398.11	chr3	-0.67994154	0.624	7.298220954	5.03E-22	3.15E-20	77.38354783	75.11945145	80.45102441	47.05919571	48.89016289	50.60564639
Trim66	ENSMUSG00000031026.15	chr7	2.06173978	4.175	1.33556914	5.31E-22	3.32E-20	0.11585396	0.108293799	0.047357189	0.317285629	0.405408403	0.41813257
Mmp23	ENSMUSG00000029061.2	chr4	-1.074602399	0.475	3.341997455	5.97E-22	3.72E-20	5.878778282	5.499636998	6.101791606	3.157602174	2.823787426	2.389967146
S100b	ENSMUSG00000033208.7	chr10	-2.056108306	0.24	1.231256237	6.00E-22	3.74E-20	2.874347809	2.177705487	2.333554188	0.360794811	0.573441271	0.845281475
Plekhb2	ENSMUSG00000026123.11	chr1	-0.918924395	0.529	4.094920619	6.22E-22	3.87E-20	2.670296825	2.868480102	2.814927417	1.38765289	1.548057882	1.511653681
Hgd	ENSMUSG00000022821.13	chr16	1.2228434	2.334	2.875912042	6.27E-22	3.90E-20	1.75351704	1.655139447	1.50764281	3.705962881	3.924244823	3.937481656
Vsir	ENSMUSG00000020101.14	chr10	-0.714903883	0.609	6.196061554	6.36E-22	3.95E-20	18.29057463	17.82838925	18.18042847	11.65023282	11.1617271	10.52836796
Katnal2	ENSMUSG00000025420.13	chr18	-1.236332456	0.424	2.768950175	6.84E-22	4.25E-20	2.100729943	2.557905731	2.348326484	0.909725325	1.13404102	0.939536986
Plk1	ENSMUSG00000030867.7	chr7	1.599008807	3.029	1.984447046	7.37E-22	4.56E-20	0.848644982	0.8397882	0.872199244	2.800056498	2.663388735	2.376833616
Orm2	ENSMUSG00000061540.3	chr4	-0.868363008	0.548	4.422862082	7.37E-22	4.56E-20	36.32582217	33.88088246	36.50322649	20.10413861	21.25044954	17.53459164
Phyh	ENSMUSG00000026664.7	chr2	0.767261298	1.702	5.342608327	7.83E-22	4.84E-20	15.49156552	16.27929759	15.42298297	26.8416854	26.78753538	27.3067295
Orai2	ENSMUSG00000039747.11	chr5	-1.214218448	0.431	2.851048565	8.92E-22	5.50E-20	1.535437152	1.813798967	1.586820392	0.916301265	0.518949669	0.713859702
Kif5a	ENSMUSG00000074657.4	chr10	1.044914077	2.063	3.482298398	8.97E-22	5.53E-20	0.853444428	1.225520156	1.3255885	2.22313643	2.387872107	2.460090595
Nrip1	ENSMUSG00000048490.13	chr16	-0.669319821	0.629	7.603933887	9.13E-22	5.62E-20	21.3937454	20.75758002	20.15842621	13.15532766	13.3304626	12.99707266
Rnf130	ENSMUSG00000020376.16	chr11	-1.629041401	0.323	1.860896376	1.04E-21	6.40E-20	3.216944977	3.592934502	3.556348565	1.168437931	0.963890561	1.241247198
Rspo2	ENSMUSG00000051920.6	chr15	-2.997803507	0.125	0.424828764	1.04E-21	6.40E-20	0.882236267	0.590286596	0.544949598	0.112753805	0.030119164	0.11006799
Mmd	ENSMUSG00000003948.17	chr11	-0.677995887	0.625	7.154178125	1.05E-21	6.45E-20	50.44548632	48.95854109	46.8943286	31.45832522	29.94256987	30.75276894
Nnmt	ENSMUSG00000032271.13	chr9	-0.905359739	0.534	4.14322194	1.11E-21	6.81E-20	15.52886466	12.96259846	15.07707447	7.30426347	8.798273984	7.329259035
Ccl2	ENSMUSG00000035385.5	chr11	-1.203496397	0.434	2.864482507	1.14E-21	6.99E-20	9.93291757	7.91092661	8.614181051	4.234424861	4.178835442	3.169062754
Nudt7	ENSMUSG00000031767.13	chr8	0.703140961	1.628	6.350812373	1.33E-21	8.09E-20	10.94285904	11.02206598	10.99107409	18.65104948	17.76713267	17.65787686
Atp6ap2	ENSMUSG00000031007.2	chrX	-0.692953567	0.619	6.571418845	1.49E-21	9.09E-20	45.80396201	44.65959889	43.67154031	28.73431612	27.49559803	27.39103732
Obsl1	ENSMUSG00000026211.17	chr1	-0.682801634	0.623	6.870156265	1.53E-21	9.32E-20	16.3162776	15.78534269	18.76361502	10.18100146	11.31582702	10.43849911
Col6a2	ENSMUSG00000020241.13	chr10	-0.645842643	0.639	9.408112348	1.67E-21	1.01E-19	99.88215368	91.92161295	105.7218236	63.05294485	65.79212577	62.79396012
Lasp1	ENSMUSG00000038366.15	chr11	-0.691414712	0.619	6.585339057	1.67E-21	1.01E-19	18.71711566	16.89071293	18.94834393	10.79082562	12.09254506	11.16146794
Clstn1	ENSMUSG00000039953.13	chr4	-0.683131374	0.623	6.820725619	1.78E-21	1.08E-19	30.10210375	28.2851805	30.90102267	17.05486821	19.4025946	19.58595022
Ccdc144b	ENSMUSG00000047696.16	chr3	-1.11631586	0.461	3.131058723	1.80E-21	1.09E-19	1.914384442	1.782095425	1.57437462	0.846481773	0.74702468	0.857208837
Jmjd6	ENSMUSG00000056962.11	chr11	0.743244599	1.674	5.54663937	2.10E-21	1.27E-19	7.84238696	6.977186673	7.314508294	11.90960784	12.89277145	12.54931723
Abcc4	ENSMUSG00000032849.13	chr14	0.678072859	1.6	6.979895203	2.11E-21	1.27E-19	16.30566487	18.05112204	16.2183285	27.27097396	26.08191285	28.1905577
Serpina3g	ENSMUSG00000041481.16	chr12	-2.88854314	0.135	0.489657683	2.25E-21	1.35E-19	1.063850061	0.740212958	1.49327002	0.050871211	0.118902731	0.273126976
Glis2	ENSMUSG00000014303.13	chr16	-0.890817774	0.539	4.188082995	2.32E-21	1.39E-19	5.681848792	4.869584519	5.592057684	2.59567651	2.930450664	3.250973559
Smtn	ENSMUSG00000020439.17	chr11	-0.972575563	0.51	3.722311484	2.68E-21	1.61E-19	4.333702754	3.636469847	3.916698987	2.151457348	1.817175781	2.147941283
Ephb3	ENSMUSG00000005958.14	chr16	-0.857332231	0.552	4.403626478	2.68E-21	1.61E-19	4.340818215	3.872361339	4.71858774	2.213532672	2.618714961	2.360264943
Mapre2	ENSMUSG00000024277.14	chr18	-0.821269968	0.566	4.636900485	2.96E-21	1.78E-19	3.339633213	2.754791037	3.195983566	1.684666332	1.92342242	1.690645805
Col6a1	ENSMUSG00000001119.7	chr10	-0.638008811	0.643	10.29880353	3.04E-21	1.82E-19	356.2035851	326.7025592	363.5231861	228.5067739	227.0326848	222.1209947
Klf10	ENSMUSG00000037465.9	chr15	0.810367749	1.754	4.76107033	3.26E-21	1.95E-19	6.391294065	6.993331068	5.826333915	10.88422561	11.37608226	11.65484462
Mxd4	ENSMUSG00000037235.13	chr5	-0.657471301	0.634	7.70348794	3.68E-21	2.20E-19	30.92422812	28.44302086	30.50401958	19.65455994	18.82413992	18.94609295
Siglec1	ENSMUSG00000027322.11	chr2	0.74113453	1.671	5.512336449	4.02E-21	2.40E-19	4.516041842	5.000978854	4.721298883	7.780560549	8.087216784	8.107428379
Tbcel	ENSMUSG00000037287.14	chr9	-0.916490755	0.53	4.000183197	4.35E-21	2.59E-19	4.001815393	3.739256721	3.490419137	2.235732969	1.846994279	1.919074969
Pid1	ENSMUSG00000045658.16	chr1	-1.365489248	0.388	2.355565379	5.39E-21	3.21E-19	0.98521683	0.797985693	0.880123962	0.353801431	0.318528951	0.370957064
Trabd2b	ENSMUSG00000070867.4	chr4	-0.728023506	0.604	5.63758102	5.46E-21	3.25E-19	9.032910569	9.811522567	9.194823641	5.567003405	5.658670283	5.829338002
Gpsm1	ENSMUSG00000026930.15	chr2	-0.904830453	0.534	4.040794803	5.53E-21	3.28E-19	4.318623483	3.837988474	3.731259076	2.019137253	2.352719042	2.019588856
Vipr1	ENSMUSG00000032528.4	chr9	-3.016795749	0.124	0.356352166	5.74E-21	3.40E-19	0.431229661	0.342272367	0.373435774	0.096229241	0.026990322	0.018787409
Tbxa2r	ENSMUSG00000034881.7	chr10	-2.726129379	0.151	0.561409049	5.85E-21	3.46E-19	1.239980276	1.145673193	1.72250693	0.182218774	0.141968377	0.296463819
Hspa12b	ENSMUSG00000074793.10	chr2	-1.018377484	0.494	3.476181056	5.86E-21	3.47E-19	4.138202831	3.77419704	4.120460947	2.208514623	2.051225379	1.730399373
Acta2	ENSMUSG00000035783.8	chr19	-0.721173318	0.607	5.761167941	5.90E-21	3.49E-19	43.05049993	34.54127024	35.62757611	26.96638353	19.81523028	22.50896133
Nipal3	ENSMUSG00000028803.18	chr4	-1.431165465	0.371	2.207854286	5.98E-21	3.53E-19	0.864293052	0.828980271	0.926797905	0.31752606	0.303462084	0.358178928
Trib1	ENSMUSG00000032501.8	chr15	0.86022686	1.815	4.364944646	6.30E-21	3.71E-19	2.395104909	2.663189751	2.552127837	4.725671311	4.444529428	4.750672731
Fkbp14	ENSMUSG00000038074.16	chr6	-0.774616935	0.585	5.006533601	7.97E-21	4.69E-19	10.04954851	9.152241642	9.990209522	6.258820367	5.682656415	5.265709031
Timp3	ENSMUSG00000020044.13	chr10	-1.444098612	0.368	2.156648368	8.46E-21	4.97E-19	1.021339353	0.729868262	0.608392173	0.315571414	0.288891005	0.269547641
Cnrip1	ENSMUSG00000044629.5	chr11	-2.098323134	0.234	1.123320089	8.53E-21	5.00E-19	0.905746272	0.634325405	0.998192053	0.240758206	0.112546202	0.248080153
H2-D1	ENSMUSG00000073411.11	chr17	-0.660965511	0.632	7.189814327	9.20E-21	5.39E-19	69.52784324	64.69068783	73.00517352	44.03353073	44.42918807	43.63316318
Glud1	ENSMUSG00000021794.15	chr14	0.634091106	1.552	9.27559657	9.71E-21	5.68E-19	116.2876489	124.4226624	114.1497604	177.5827646	188.6266646	188.8320021
Glb1	ENSMUSG00000045594.9	chr9	-0.743291312	0.597	5.347177781	9.91E-21	5.79E-19	22.24043119	19.97533319	21.33297989	12.40742472	13.83650479	12.00276166
Wdr45	ENSMUSG00000039382.12	chrX	-0.880771368	0.543	4.167459936	1.01E-20	5.88E-19	6.652812604	6.799572872	7.532797519	3.963074842	3.58421686	3.947626225
Rpe	ENSMUSG00000026005.15	chr1	0.703202149	1.628	6.015353026	1.01E-20	5.91E-19	14.78137747	16.9067736	15.43710476	25.93680066	25.00490442	26.35994758
P4ha3	ENSMUSG00000051048.17	chr7	-1.775801574	0.292	1.553403622	1.03E-20	6.01E-19	1.666754986	1.196522393	1.359536514	0.392811754	0.38321952	0.466814671
Ptgfr	ENSMUSG00000028036.6	chr3	-0.775904005	0.584	4.965695715	1.06E-20	6.16E-19	6.474131304	5.432054687	5.470740434	3.657409679	3.382500268	3.192440319
Rarg	ENSMUSG00000001288.14	chr15	-0.727028144	0.604	5.552764528	1.20E-20	6.97E-19	13.92344851	13.69346934	14.92373803	7.974610207	8.905435487	9.01849574
Fbxo32	ENSMUSG00000022358.6	chr15	-1.00317579	0.499	3.492540909	1.20E-20	6.99E-19	2.352315523	2.129981837	1.966388453	1.150194714	1.125873093	0.964550334
Pck2	ENSMUSG00000040618.6	chr14	0.663384126	1.584	7.028213329	1.23E-20	7.12E-19	28.24346838	30.34824746	30.07007368	44.32958499	50.54390736	46.62485603
Sh2d6	ENSMUSG00000052631.14	chr6	1.35631875	2.56	2.382230634	1.30E-20	7.55E-19	1.442717408	1.727621279	1.717618239	4.34623773	4.236346185	4.032078609
Nfkbiz	ENSMUSG00000035356.16	chr16	0.743211323	1.674	5.347406025	1.34E-20	7.73E-19	5.206533362	6.348241503	6.497693172	9.795039859	10.31487117	10.33249076
Ap3m2	ENSMUSG00000031539.6	chr8	-0.877471642	0.544	4.15047065	1.50E-20	8.64E-19	4.72507843	5.228899473	5.215831792	2.768799177	2.820950874	2.72594714
Spire2	ENSMUSG00000010154.6	chr8	-2.306512307	0.202	0.873150166	1.53E-20	8.80E-19	1.37302537	1.040251591	1.32620453	0.321711287	0.171873132	0.269184058
Trib3	ENSMUSG00000032715.9	chr2	0.631802998	1.55	9.100874457	1.55E-20	8.94E-19	187.3823182	221.3860522	196.7106185	302.2033634	315.6837297	327.7175506
Pappa	ENSMUSG00000028370.7	chr4	-0.919666022	0.529	3.891154745	1.65E-20	9.47E-19	1.750388408	1.674702324	1.821471625	0.869140204	0.939694959	0.985893426
E030018B13Rik	ENSMUSG00000095061.1	chr7	3.096782481	8.555	0.371560556	1.67E-20	9.56E-19	0.210124736	0.1137127	0.367426463	1.688022066	2.120685854	2.368731307
Gbgt1	ENSMUSG00000026829.9	chr2	-1.360655017	0.389	2.308390405	1.68E-20	9.60E-19	4.825443063	5.827031697	5.1403979	2.362733765	1.834588213	1.993713637
St3gal6	ENSMUSG00000022747.16	chr16	-0.940726698	0.521	3.785603337	1.72E-20	9.84E-19	3.183363836	3.065801006	2.646316582	1.84931077	1.473748506	1.349646658
Pls3	ENSMUSG00000016382.15	chrX	-0.726930239	0.604	5.502983318	1.94E-20	1.11E-18	13.92739526	13.35835788	12.5712216	8.717306615	7.724861864	7.831352696
Rgs16	ENSMUSG00000026475.7	chr1	-3.281344274	0.103	0.174170786	2.16E-20	1.23E-18	0.911828164	0.493451863	1.002214979	0.022890958	0.107007375	0.111728455
Ptprn	ENSMUSG00000026204.15	chr1	1.412078329	2.661	2.226422827	2.20E-20	1.25E-18	0.627431771	0.461782218	0.63947251	1.474325286	1.696483684	1.488410242
Sort1	ENSMUSG00000068747.14	chr3	-0.642002178	0.641	7.811900789	2.35E-20	1.34E-18	37.06064975	34.75970694	36.31327822	24.46136382	22.1157509	23.26411394
Lysmd2	ENSMUSG00000032184.4	chr9	-1.616218386	0.326	1.765206246	2.55E-20	1.45E-18	4.354397402	4.232007663	3.951365422	0.981602415	1.334881328	1.785774517
Foxf2	ENSMUSG00000038402.2	chr13	-1.043944086	0.485	3.278090494	2.60E-20	1.48E-18	5.505659354	5.397262879	5.546382539	2.288504841	2.711565966	3.030266719
Xpnpep2	ENSMUSG00000037005.16	chrX	-1.547184411	0.342	1.908919798	2.66E-20	1.51E-18	1.082123008	1.017423289	1.266935857	0.461000799	0.359170099	0.342872136
Col5a2	ENSMUSG00000026042.16	chr1	-0.635405313	0.644	8.186495387	2.85E-20	1.62E-18	38.29794987	34.88665571	37.25656832	25.05993255	23.09006489	23.5038809
Rps6ka3	ENSMUSG00000031309.15	chrX	-0.686148154	0.622	6.169508651	2.89E-20	1.64E-18	11.1161654	10.679183	10.08303515	6.91631773	6.370040226	6.682483992
Sult5a1	ENSMUSG00000000739.13	chr8	-1.913821651	0.265	1.275148847	2.98E-20	1.68E-18	1.9344817	2.551767144	1.842339607	0.303525793	0.76619464	0.59259151
Gbp2	ENSMUSG00000028270.12	chr3	-0.777297747	0.583	4.845563629	3.04E-20	1.72E-18	14.45296565	15.1383422	13.53096142	8.937845373	8.674606407	7.727807828
Evc	ENSMUSG00000029122.11	chr5	-0.812068104	0.57	4.522693413	3.46E-20	1.95E-18	4.174970598	3.297240096	3.867257755	1.960632369	2.203568223	2.348296798
Aqp7	ENSMUSG00000028427.13	chr4	-0.773858129	0.585	4.870897132	3.49E-20	1.96E-18	13.7822843	12.34584979	12.84823301	8.160035505	8.248603683	6.561044124
Col4a2	ENSMUSG00000031503.13	chr8	-0.621926102	0.65	9.830922036	3.51E-20	1.98E-18	168.012925	160.1541336	170.30236	108.1031302	111.240951	107.0836943
Arhgap29	ENSMUSG00000039831.16	chr3	-0.661246524	0.632	6.785307982	3.76E-20	2.12E-18	16.0774028	15.47640816	14.26356616	10.64765039	8.819075595	9.735871803
Oraov1	ENSMUSG00000031072.14	chr7	-0.753650855	0.593	5.063270611	4.50E-20	2.52E-18	6.237306251	5.810966992	5.704190467	3.548737085	3.495059986	3.567835622
Ifi202b	ENSMUSG00000026535.9	chr1	-0.981755275	0.506	3.528012815	4.52E-20	2.53E-18	8.483306425	8.025556933	10.32886236	4.98504896	4.483690968	4.25031634
Limk1	ENSMUSG00000029674.13	chr5	0.729944769	1.659	5.37689269	5.35E-20	2.98E-18	3.796811987	5.019942577	4.180617492	6.930101586	7.653387957	7.108020158
Flrt1	ENSMUSG00000047787.7	chr19	2.163595143	4.48	1.039489174	5.38E-20	3.00E-18	0.109204612	0.088646998	0.154583757	0.511751015	0.452820727	0.651213466
Papss2	ENSMUSG00000024899.6	chr19	0.747560475	1.679	5.128998322	5.40E-20	3.00E-18	7.480816355	6.683788518	7.181746962	11.73945917	11.96711012	12.43757472
Klhdc8b	ENSMUSG00000032609.12	chr9	-0.948781192	0.518	3.656383806	5.40E-20	3.00E-18	2.001288988	1.795915096	2.075638744	0.896711597	1.105926745	1.061596826
Maff	ENSMUSG00000042622.13	chr15	0.734165099	1.663	5.305274496	6.09E-20	3.38E-18	11.72568418	15.93198646	14.05462575	21.7553652	23.90691195	24.17236423
Pdlim2	ENSMUSG00000022090.10	chr14	-0.755039189	0.593	5.015125726	6.22E-20	3.45E-18	9.6511706	7.808622739	9.548501354	5.347033784	5.925284096	4.858484217
Cenpv	ENSMUSG00000018509.8	chr11	-0.915634757	0.53	3.826572343	6.75E-20	3.73E-18	10.39296555	9.272985015	10.82599452	4.937330554	5.638786396	5.714401492
Ank2	ENSMUSG00000032826.16	chr3	-1.078143703	0.474	3.096740046	6.95E-20	3.84E-18	0.360091574	0.373115817	0.371742486	0.173086353	0.15060835	0.204094411
Ifitm3	ENSMUSG00000025492.6	chr7	-0.694952888	0.618	5.850807496	6.97E-20	3.85E-18	105.0654674	96.43734276	112.7614474	69.02015371	65.34125972	61.36311311
Sox6	ENSMUSG00000051910.13	chr7	-2.901719859	0.134	0.346030472	7.08E-20	3.90E-18	0.158174399	0.128398291	0.136496751	0.014439577	0.023625024	0.017619529
Fosl2	ENSMUSG00000029135.10	chr5	0.658200705	1.578	6.726477541	7.54E-20	4.15E-18	7.882201065	8.906770447	8.525394706	12.40093509	13.59531126	14.25991886
Dpep1	ENSMUSG00000019278.4	chr8	-0.670712305	0.628	6.335919801	7.71E-20	4.25E-18	41.13735545	46.58453123	44.59944065	26.59178503	28.70352254	28.45391204
Slc25a33	ENSMUSG00000028982.9	chr4	0.669873736	1.591	6.376646609	8.26E-20	4.54E-18	32.66398492	35.59804104	33.08980029	52.97446766	53.85153213	55.64575601
Col12a1	ENSMUSG00000032332.17	chr9	-0.712926484	0.61	5.536629444	8.30E-20	4.56E-18	4.264691815	3.327336063	3.712025494	2.447149799	2.087395694	2.423180935
Rcl1	ENSMUSG00000024785.6	chr19	0.647298917	1.566	7.077577559	8.37E-20	4.59E-18	55.89195619	59.72565647	58.59565617	88.22691801	93.89701857	92.85070861
Sms	ENSMUSG00000071708.11	chrX	-0.859652826	0.551	4.157365526	8.84E-20	4.84E-18	4.001154324	3.168724539	4.228461119	1.986664697	2.015648595	2.339385634
H1f0	ENSMUSG00000096210.1	chr15	0.621648849	1.539	8.620093837	1.00E-19	5.49E-18	126.5018443	137.3968382	140.8912598	196.2580525	222.382941	209.0891387
Ptges	ENSMUSG00000050737.13	chr2	-0.69391181	0.618	5.798704645	1.09E-19	5.94E-18	18.41958998	16.86793831	16.99546014	11.07341777	10.81131628	10.68998302
Ctsf	ENSMUSG00000083282.2	chr19	-2.521607537	0.174	0.629800501	1.09E-19	5.95E-18	1.214866751	1.227233522	1.348780687	0.352428025	0.101383392	0.211712694
Frat2	ENSMUSG00000047604.3	chr19	-1.382866832	0.383	2.173349918	1.10E-19	5.98E-18	2.911457621	2.643780817	3.32826146	1.090164644	1.297200736	1.040010441
Gk5	ENSMUSG00000041440.18	chr9	0.769483004	1.705	4.833411324	1.23E-19	6.67E-18	2.115689883	2.765529557	2.496665629	4.186018455	3.972580428	4.504783955
Lrrc8b	ENSMUSG00000070639.5	chr5	-1.35064247	0.392	2.24682836	1.29E-19	7.02E-18	1.062260831	1.063922128	0.871313126	0.382101337	0.342353597	0.458478695
Iqsec1	ENSMUSG00000034312.13	chr6	-0.634533279	0.644	7.471460703	1.33E-19	7.22E-18	19.89338435	19.32798359	19.84345116	12.28984329	12.97971041	13.07382096
Cars	ENSMUSG00000010755.17	chr7	0.683240461	1.606	5.988582602	1.36E-19	7.40E-18	7.119479642	7.679364298	7.25950523	11.56564678	12.74453767	11.36954732
Ldb1	ENSMUSG00000025223.14	chr19	-0.651625607	0.637	6.753804973	1.40E-19	7.60E-18	35.77427884	33.8556318	40.32564398	22.51959768	23.82053445	24.21504556
Ctsk	ENSMUSG00000028111.4	chr3	-0.932723493	0.524	3.690278219	1.61E-19	8.74E-18	12.27186829	10.22887855	10.85268905	5.842871517	5.462684008	6.325914374
Sorbs2	ENSMUSG00000031626.17	chr8	-3.075736898	0.119	0.219468086	1.77E-19	9.57E-18	0.082321049	0.058017934	0.066952328	0.007689771	0.003594704	0.013136548
Mgst3	ENSMUSG00000026688.5	chr1	-0.629403723	0.646	7.635930427	1.79E-19	9.66E-18	230.3367919	213.5292836	214.3214971	152.670209	142.781803	133.3107259
